epoch,binary_accuracy,loss,val_binary_accuracy,val_loss
0,0.6307162046432495,0.6679387092590332,0.8643531799316406,0.38437098264694214
1,0.8168830871582031,0.3794567883014679,0.8736019134521484,0.3283342719078064
2,0.8387894034385681,0.3350251019001007,0.8554916381835938,0.33260011672973633
3,0.8586381077766418,0.29132798314094543,0.9195356369018555,0.23935306072235107
4,0.8697345852851868,0.26936864852905273,0.9074373245239258,0.24527066946029663
5,0.8818488717079163,0.2423306107521057,0.8940649032592773,0.26859888434410095
6,0.8898158669471741,0.2274320274591446,0.9090032577514648,0.2093394696712494
7,0.8981846570968628,0.2100379467010498,0.9217605590820312,0.19313234090805054
8,0.9030734896659851,0.2009822130203247,0.919830322265625,0.18788257241249084
9,0.9064252376556396,0.19325722754001617,0.9147701263427734,0.1925984025001526
10,0.9142670631408691,0.17633309960365295,0.9311418533325195,0.1631789207458496
11,0.918529748916626,0.1686646193265915,0.9277811050415039,0.1658034324645996
12,0.9211065769195557,0.16113004088401794,0.9164142608642578,0.1986381858587265
13,0.9208701848983765,0.16230250895023346,0.9073352813720703,0.1992127001285553
14,0.9269115328788757,0.148276224732399,0.9217691421508789,0.1830049455165863
15,0.9288009405136108,0.14267729222774506,0.932032585144043,0.1577645242214203
16,0.9299190044403076,0.13999196887016296,0.9293622970581055,0.1601988971233368
17,0.9338263869285583,0.13054148852825165,0.9169492721557617,0.19359587132930756
18,0.933537483215332,0.1317814141511917,0.930567741394043,0.16353318095207214
19,0.935263991355896,0.1273227035999298,0.9272975921630859,0.16420143842697144
