epoch,binary_accuracy,loss,val_binary_accuracy,val_loss
0,0.5311508178710938,0.8142133355140686,0.5074167847633362,0.6796647310256958
1,0.6983063220977783,0.5445966124534607,0.8676161766052246,0.3312263786792755
2,0.8391159772872925,0.35161328315734863,0.8901877403259277,0.2910335958003998
3,0.8600236177444458,0.3090343475341797,0.9042369723320007,0.24753917753696442
4,0.8808255791664124,0.26472359895706177,0.9270547032356262,0.21028728783130646
5,0.8915774822235107,0.24175287783145905,0.9327071905136108,0.17862935364246368
6,0.8973373174667358,0.22860465943813324,0.9329573512077332,0.17252327501773834
7,0.8988919258117676,0.2260332703590393,0.9356603026390076,0.17992591857910156
8,0.9014362692832947,0.21963827311992645,0.9358313083648682,0.1805638074874878
9,0.9044489860534668,0.2114514410495758,0.9379978179931641,0.17777617275714874
10,0.9046222567558289,0.21108636260032654,0.9371473789215088,0.16565068066120148
11,0.9071294069290161,0.20503391325473785,0.935015082359314,0.168157160282135
12,0.907958984375,0.20195628702640533,0.9383687376976013,0.16774863004684448
13,0.9090524911880493,0.19912579655647278,0.9368093013763428,0.16051317751407623
14,0.9080554842948914,0.2007106989622116,0.9293155670166016,0.18764984607696533
15,0.9100435376167297,0.1962173581123352,0.9369249939918518,0.16554726660251617
16,0.9108495712280273,0.19366776943206787,0.9391707181930542,0.15271984040737152
17,0.9095654487609863,0.1961262822151184,0.9369340538978577,0.15666428208351135
18,0.9124208092689514,0.18848916888237,0.9375562071800232,0.15277381241321564
19,0.9116467833518982,0.18802836537361145,0.9385308623313904,0.16064083576202393
